,problem,answer,subject,unique_id
0,"Let $a, b, c \in \mathbb{R}$, $a^3 b + b^3 c + c^3 a = 3$, find the minimum value of the expression $f(a, b, c) = (\sum a^4)^4 + 1000 \sum a^2 b^2$.",2625,Algebra,OlymMATH-HARD-0-EN
1,"If the distances from the eight vertices of a cube to a certain plane are $0$, $1$, $2$, $3$, $4$, $5$, $6$, $7$ respectively, consider all possible edge lengths of this cube. Assuming the possible edge lengths form a set $S$, find the sum of squares of all elements in $S$.",210,Geometry,OlymMATH-HARD-1-EN
2,"For $i = 1, 2, \cdots, n$, we have $x_i < 1$, and $| x_1 | + | x_2 | + \cdots + | x_n | = 19 + | x_1 + x_2 + \cdots + x_n |$. Find the minimum value of the positive integer $n$.",11,Algebra,OlymMATH-HARD-2-EN
3,"Find the minimum number of cubes (which can be suspended in air) needed so that all three views (front, top, and side) are $3 \times 3$ grids.",8,Geometry,OlymMATH-HARD-3-EN
4,"Let $x$, $y$, $z$ be positive real numbers. Find the minimum value of $f(x, y, z) = \frac{(2 + 5y)(3x + z)(x + 3y)(2z + 5)}{xyz}$.",241 + 44\sqrt{30},Algebra,OlymMATH-HARD-4-EN
5,"Given the ellipse $x^{2} / 4 + y^{2} = 1$, $N_{1}(-1, 0)$, $N_{2}(1, 0)$, $M(3, 0)$, a line passing through $M$ intersects the ellipse at two points $P$ and $Q$. Connect $N_{1}P$ and $N_{2}Q$ to get the intersection point $R$. It can be proven that the locus of $R$ forms a conic section. Find its eccentricity.",\frac{\sqrt{51}}{6},Geometry,OlymMATH-HARD-5-EN
6,"Nine small balls numbered $1, 2, \dots, 9$ are randomly placed at nine equally spaced points on a circle, with one ball at each point. Let $S$ be the sum of the absolute differences between the numbers of all adjacent balls on the circle. Find the probability of the arrangement that minimizes the value of $S$. Note: If one arrangement can coincide with another after rotation or mirror reflection, then they are considered the same arrangement.",\frac{1}{315},Combinatorics,OlymMATH-HARD-6-EN
7,"A triangle with sides of length $10$, $12$, $14$ is folded along its three medians to form a tetrahedron. Find the diameter of the circumscribed sphere of the tetrahedron.",\sqrt{55},Geometry,OlymMATH-HARD-7-EN
8,"For $k$, $n \in \mathbf{Z}_{+}$, consider a finite sequence $\{a_{k}\}$ with $n$ terms, where $a_{k} \leqslant m$, $a_{k}$, $m \in \mathbf{Z}_{+}$. If $m=2025$, determine the maximum value of $n$ such that the sequence $\{a_{k}\}$ satisfies: (1) for any term $a_{k}$, if $a_{k-1}$ and $a_{k+1}$ exist, then $a_{k-1} \neq a_{k+1}$; (2) there do not exist positive integers $i_{1} < i_{2} < i_{3} < i_{4}$ such that $a_{{i_{1}}} = a_{{i_{3}}} \neq a_{{i_{2}}} = a_{{i_{4}}}$.",8098,Combinatorics,OlymMATH-HARD-8-EN
9,"Given an ellipse $\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)$ with left focus $F$, $P(x_{0},y_{0})$ is a point on the ellipse, where $x_{0}>0$. Draw a tangent line from point $P$ to the circle $x^{2}+y^{2}=b^{2}$, which intersects the ellipse at a second point $Q$. Let $I$ be the incenter of triangle $\triangle PFQ$, and $\angle PFQ=2\alpha$. If $a^2=\sqrt{3}, b^2=\sqrt{2}$, find the value of $|FI| \cos \alpha$.",\sqrt[4]{3},Geometry,OlymMATH-HARD-9-EN
